seq,product_id,category_code,unit_code,inventory_type,item_category,item_name,item_description,unit_of_measure,item_color,item_brand,item_variant,item_size,unit_cost,selling_price,vatable,bar_code,sku,isDiscountable,beginning_inventory,actual_count,remaining_count,variance,safety_stock,reordering_point,status
1158,BD-bb539a496e0b,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 CG,3-4 CG,PLATTER,,BR-2c0670411104,,,679.6,1699,Yes,,,Yes,0,0,0,,0,0,Active
1159,BD-5517f938cc8c,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 CJ,3-4 CJ,PLATTER,,BR-2c0670411104,,,679.6,1699,Yes,,,Yes,0,0,0,,0,0,Active
1160,BD-dcfe63b1d1a6,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 BG,3-4 BG,PLATTER,,BR-2c0670411104,,,679.6,1699,Yes,,,Yes,0,0,0,,0,0,Active
1161,BD-bb9a631da1a1,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 LB,3-4 LB,PLATTER,,BR-2c0670411104,,,679.6,1699,Yes,,,Yes,0,0,0,,0,0,Active
1162,BD-0b37ac8892c4,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SE,3-4 SE,PLATTER,,BR-2c0670411104,,,679.6,1699,Yes,,,Yes,0,0,0,,0,0,Active
1163,BD-276670397efb,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SHRIMP CG,3-4 SHRIMP CG,PLATTER,,BR-2c0670411104,,,559.6,1399,Yes,,,Yes,0,0,0,,0,0,Active
1164,BD-ddb7546125d0,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SHRIMP CJ,3-4 SHRIMP CJ,PLATTER,,BR-2c0670411104,,,559.6,1399,Yes,,,Yes,0,0,0,,0,0,Active
1165,BD-7587a11f832b,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SHRIMP BG,3-4 SHRIMP BG,PLATTER,,BR-2c0670411104,,,559.6,1399,Yes,,,Yes,0,0,0,,0,0,Active
1166,BD-514820520130,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SHRIMP LB,3-4 SHRIMP LB,PLATTER,,BR-2c0670411104,,,559.6,1399,Yes,,,Yes,0,0,0,,0,0,Active
1167,BD-caab6099d669,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,3-4 SHRIMP SE,3-4 SHRIMP SE,PLATTER,,BR-2c0670411104,,,559.6,1399,Yes,,,Yes,0,0,0,,0,0,Active
1168,BD-c273dbc7d52b,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,1KG SCALLOPS CG,1KG SCALLOPS CG,PLATTER,,BR-2c0670411104,,,279.6,699,Yes,,,Yes,0,0,0,,0,0,Active
1169,BD-8a77b41d6d04,Crab & Crack,BU-fca786ffced3,ALL,SEAFOOD PLATTER,1KG SCALLOPS CJ,1KG SCALLOPS CJ,PLATTER,,BR-2c0670411104,,,279.6,699,Yes,,,Yes,0,0,0,,0,0,Active
