"seq","mop_id","mop","sl_code","reference_On_Off","MOP_On_Off"
"1","MP-60b729686a4c","Cash","10002","1","1"
"2","MP-bd75d96d469a","GCash","110005","1","1"
"3","MP-52d754926a3c","Credit","12001","1","1"
"4","MP-72d754927a4d","GiftCert","12003","1","1"
"5","MP-97149fb5d2ed","Cheque","110005","1","1"
"6","MP-e237a320d2ee","Paymaya","110005","1","1"
"7","MP-ead6ab63d2ee","BDO","110004","1","1"
"8","MP-f34a0becd2ee","Metrobank","110005","1","1"
"9","MP-f88bb2bcd2ee","BPI","110005","1","1"
"10","MP-02d83b6bd2ef","SecurityBank","110005","1","1"
"11","MP-0fae59bad2ef","ChinaBank","110005","1","1"
"12","MP-160bb035d2ef","PSbank","110005","1","1"
"13","MP-1c52d3bfd2ef","Gatebank","110005","1","1"
"14","MP-21b51072d2ef","Eastwest","110005","1","1"
"15","MP-27e99c34d2ef","Lazada","110005","1","1"
"16","MP-368e8299d2ef","Shoppe","110005","1","1"
"17","MP-3d17f352d2ef","Palawan Express","110005","1","1"
"18","MP-439a10a8d2ef","Cebuana","110005","1","1"
"19","MP-4b0309c2d2ef","LBC","110005","1","1"
"20","MP-4ffc7c80d2ef","LBCCOD","110005","1","1"
"21","MP-564b46bcd2ef","WesternUnion","110005","1","1"
"22","MP-5c0726d1d2ef","Tiktok","110005","1","1"
"23","MP-61f66403d2ef","Toktok","110005","1","1"
"24","MP-69c70606d2ef","Mlhuillier","110005","1","1"
"25","MP-f7d918d0ee61","FoodPanda","110005","1","1"
"26","MP-3e599144f018","GrabFood","110005","1","1"
"27","MP-a72f57a3f691","B1T1Balance","110053","1","1"
"28","MP-b56a7e3ef691","B1T1Diamonds","110054","1","1"
"29","MP-8f0a348a1463","CareOffJoy","120138","1","1"
"30","MP-968d74671463","CareOffAngelo","120137","1","1"
"31","MP-21c538481464","CareOff","120139","1","1"
