id,permission_group,permission_key,permission_name,description,is_locked,is_developer_only,is_active,sort_order,created_at,updated_at
1,routes,home,Home,POS home screen.,1,0,1,10,2026-08-09 00:00:00,2026-08-09 00:00:00
2,routes,productList,Product List,Product list page.,0,0,1,20,2026-08-09 00:00:00,2026-08-09 00:00:00
3,routes,productPriceSyncing,Product & Price Syncing,Product and price sync page.,0,0,1,30,2026-08-09 00:00:00,2026-08-09 00:00:00
4,routes,salesRecordSyncing,Sales Record Syncing,Sales record sync page.,0,0,1,40,2026-08-09 00:00:00,2026-08-09 00:00:00
5,routes,openNewDay,Open New Day,Open day action.,0,0,1,50,2026-08-09 00:00:00,2026-08-09 00:00:00
6,routes,newTransaction,New Transaction,Ordering transaction page.,0,0,1,60,2026-08-09 00:00:00,2026-08-09 00:00:00
7,routes,billing,Billing,Billing page.,0,0,1,70,2026-08-09 00:00:00,2026-08-09 00:00:00
8,routes,payment,Payment,Payment page.,0,0,1,80,2026-08-09 00:00:00,2026-08-09 00:00:00
9,routes,registrySales,Registry Sales,Sales registry page.,0,0,1,90,2026-08-09 00:00:00,2026-08-09 00:00:00
10,routes,posReports,POS Reports,POS reports page.,0,0,1,100,2026-08-09 00:00:00,2026-08-09 00:00:00
11,routes,salesDashboard,Sales Dashboard,Sales dashboard page.,0,0,1,110,2026-08-09 00:00:00,2026-08-09 00:00:00
12,reading,xReading,X Reading,X reading access.,0,0,1,210,2026-08-09 00:00:00,2026-08-09 00:00:00
13,reading,zReading,Z Reading,Z reading access.,0,0,1,220,2026-08-09 00:00:00,2026-08-09 00:00:00
14,reports,dashboard,Dashboard,Sales dashboard report.,0,0,1,310,2026-08-09 00:00:00,2026-08-09 00:00:00
15,reports,dailySales,Daily Sales,Daily sales report.,0,0,1,320,2026-08-09 00:00:00,2026-08-09 00:00:00
16,reports,hourlySales,Hourly Sales,Hourly sales report.,0,0,1,330,2026-08-09 00:00:00,2026-08-09 00:00:00
17,reports,transactions,Transactions,Transactions report.,0,0,1,340,2026-08-09 00:00:00,2026-08-09 00:00:00
18,reports,salesPerItem,Sales Per Item,Sales per item report.,0,0,1,350,2026-08-09 00:00:00,2026-08-09 00:00:00
