ID,transaction_id,Category_Code,Unit_Code,transaction_date,product_id,sku,sales_quantity,landing_cost,unit_cost,selling_price,vatable,isDiscountable,order_status
3,1000000001,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-bb539a496e0b,BD-bb539a496e0b,1,0,1699,1699,Yes,Yes,ACTIVE
4,1000000001,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-fb2d42b27198,BD-fb2d42b27198,1,0,85,85,Yes,Yes,ACTIVE
5,1000000001,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-728f1576dd35,BD-728f1576dd35,2,0,55,55,Yes,Yes,ACTIVE
15,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-beded204b0d5,BD-beded204b0d5,1,0,2699,2699,Yes,No,ACTIVE
16,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-3e7d05a9fd29,BD-3e7d05a9fd29,1,0,599,599,Yes,Yes,ACTIVE
17,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-bfd1ec2f5e57,BD-bfd1ec2f5e57,1,0,249,249,Yes,Yes,ACTIVE
18,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-cc8bfd7e6039,BD-cc8bfd7e6039,1,0,359,359,Yes,Yes,ACTIVE
19,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-a595c4e84a5f,BD-a595c4e84a5f,1,0,329,329,Yes,Yes,ACTIVE
20,1000000002,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-728f1576dd35,BD-728f1576dd35,4,0,55,55,Yes,Yes,ACTIVE
21,1000000003,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-fbe2e99040a5,BD-fbe2e99040a5,1,0,139,139,Yes,Yes,ACTIVE
22,1000000003,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-e995fb0cc890,BD-e995fb0cc890,1,0,349,349,Yes,Yes,ACTIVE
23,1000000003,Crab & Crack,BU-fca786ffced3,2026-03-28,BD-3e7d05a9fd29,BD-3e7d05a9fd29,1,0,599,599,Yes,Yes,ACTIVE
