seq,pricing_code,inv_code,cost_per_uom,srp,deletestatus,usertracker,createdtime
1,PC-8618aa530716,BD-bb539a496e0b,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
2,PC-8618aa530716,BD-5517f938cc8c,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
3,PC-8618aa530716,BD-dcfe63b1d1a6,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
4,PC-8618aa530716,BD-bb9a631da1a1,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
5,PC-8618aa530716,BD-0b37ac8892c4,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
6,PC-8618aa530716,BD-276670397efb,559.6,1399,Active,2.02602E+11,0000-00-00 00:00:00
7,PC-8618aa530716,BD-ddb7546125d0,559.6,1399,Active,2.02602E+11,0000-00-00 00:00:00
8,PC-8618aa530716,BD-7587a11f832b,559.6,1399,Active,2.02602E+11,0000-00-00 00:00:00
9,PC-8618aa530716,BD-514820520130,559.6,1399,Active,2.02602E+11,0000-00-00 00:00:00
10,PC-8618aa530716,BD-caab6099d669,559.6,1399,Active,2.02602E+11,0000-00-00 00:00:00
11,PC-8618aa530716,BD-c273dbc7d52b,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
12,PC-8618aa530716,BD-8a77b41d6d04,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
13,PC-8618aa530716,BD-69f99b69923f,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
14,PC-8618aa530716,BD-5f58e3b77913,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
15,PC-8618aa530716,BD-e745698bbdd3,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
16,PC-8618aa530716,BD-5d3f1f9f5cc1,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
17,PC-8618aa530716,BD-70eecfb879e2,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
18,PC-8618aa530716,BD-8ee6ddbfbfb1,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
19,PC-8618aa530716,BD-88748fb18629,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
20,PC-8618aa530716,BD-d1995661c13a,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
21,PC-8618aa530716,BD-29278939c19d,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
22,PC-8618aa530716,BD-ff0ae20cb6dd,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
23,PC-8618aa530716,BD-aefa1fd6de53,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
24,PC-8618aa530716,BD-3b9e0150f37c,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
25,PC-8618aa530716,BD-2ed3fb83efb3,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
26,PC-8618aa530716,BD-cfa10e3d1894,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
27,PC-8618aa530716,BD-723a70a5fdb6,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
28,PC-8618aa530716,BD-18edd239db03,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
29,PC-8618aa530716,BD-c1682031713c,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
30,PC-8618aa530716,BD-cfe82949bdf5,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
31,PC-8618aa530716,BD-8188c88f0c29,132,330,Active,2.02602E+11,0000-00-00 00:00:00
32,PC-8618aa530716,BD-97b52d074c15,132,330,Active,2.02602E+11,0000-00-00 00:00:00
33,PC-8618aa530716,BD-cc1985e470a3,132,330,Active,2.02602E+11,0000-00-00 00:00:00
34,PC-8618aa530716,BD-e91f5b3fd359,132,330,Active,2.02602E+11,0000-00-00 00:00:00
35,PC-8618aa530716,BD-8682fb850f2c,132,330,Active,2.02602E+11,0000-00-00 00:00:00
36,PC-8618aa530716,BD-821445ad3b47,60,150,Active,2.02602E+11,0000-00-00 00:00:00
37,PC-8618aa530716,BD-90e45d6fc73b,115.6,289,Active,2.02602E+11,0000-00-00 00:00:00
38,PC-8618aa530716,BD-d6c95eca40ad,139.6,349,Active,2.02602E+11,0000-00-00 00:00:00
39,PC-8618aa530716,BD-d2cfa7ef9129,115.6,289,Active,2.02602E+11,0000-00-00 00:00:00
40,PC-8618aa530716,BD-997881622693,139.6,349,Active,2.02602E+11,0000-00-00 00:00:00
41,PC-8618aa530716,BD-bfd1ec2f5e57,99.6,249,Active,2.02602E+11,0000-00-00 00:00:00
42,PC-8618aa530716,BD-cabf16991309,167.6,419,Active,2.02602E+11,0000-00-00 00:00:00
43,PC-8618aa530716,BD-e995fb0cc890,139.6,349,Active,2.02602E+11,0000-00-00 00:00:00
44,PC-8618aa530716,BD-4a6166392629,299.6,749,Active,2.02602E+11,0000-00-00 00:00:00
45,PC-8618aa530716,BD-153ed64f585f,171.6,429,Active,2.02602E+11,0000-00-00 00:00:00
46,PC-8618aa530716,BD-5291f49ff457,299.6,749,Active,2.02602E+11,0000-00-00 00:00:00
47,PC-8618aa530716,BD-55f70dfc41c7,439.6,1099,Active,2.02602E+11,0000-00-00 00:00:00
48,PC-8618aa530716,BD-03ce9af0fae9,171.6,429,Active,2.02602E+11,0000-00-00 00:00:00
49,PC-8618aa530716,BD-3e7d05a9fd29,239.6,599,Active,2.02602E+11,0000-00-00 00:00:00
50,PC-8618aa530716,BD-dfc1aebdd799,151.6,379,Active,2.02602E+11,0000-00-00 00:00:00
51,PC-8618aa530716,BD-0968845d2fd8,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
52,PC-8618aa530716,BD-bd4e74549255,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
53,PC-8618aa530716,BD-76d8ff5070ac,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
54,PC-8618aa530716,BD-d79ef741ca3b,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
55,PC-8618aa530716,BD-a595c4e84a5f,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
56,PC-8618aa530716,BD-b2eca78426fb,279.6,699,Active,2.02602E+11,0000-00-00 00:00:00
57,PC-8618aa530716,BD-42cace58b81d,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
58,PC-8618aa530716,BD-8a4cc989a5fc,239.6,599,Active,2.02602E+11,0000-00-00 00:00:00
59,PC-8618aa530716,BD-b5cd6e36206e,199.6,499,Active,2.02602E+11,0000-00-00 00:00:00
60,PC-8618aa530716,BD-fa3398bd7c67,219.6,549,Active,2.02602E+11,0000-00-00 00:00:00
61,PC-8618aa530716,BD-99fa8d87dacd,147.6,369,Active,2.02602E+11,0000-00-00 00:00:00
62,PC-8618aa530716,BD-66847c47c0b6,167.6,419,Active,2.02602E+11,0000-00-00 00:00:00
63,PC-8618aa530716,BD-e6d3ccc62f79,107.6,269,Active,2.02602E+11,0000-00-00 00:00:00
64,PC-8618aa530716,BD-90dd9572ad2d,95.6,239,Active,2.02602E+11,0000-00-00 00:00:00
65,PC-8618aa530716,BD-fbe2e99040a5,55.6,139,Active,2.02602E+11,0000-00-00 00:00:00
66,PC-8618aa530716,BD-55d2d663f4df,119.6,299,Active,2.02602E+11,0000-00-00 00:00:00
67,PC-8618aa530716,BD-724d712e2136,159.6,399,Active,2.02602E+11,0000-00-00 00:00:00
68,PC-8618aa530716,BD-3aafd303bb44,0.64,1.6,Active,2.02602E+11,0000-00-00 00:00:00
69,PC-8618aa530716,BD-e891bb97824d,0.64,1.6,Active,2.02602E+11,0000-00-00 00:00:00
70,PC-8618aa530716,BD-d03c6134bf27,0.64,1.6,Active,2.02602E+11,0000-00-00 00:00:00
71,PC-8618aa530716,BD-8639050c97e8,0.64,1.6,Active,2.02602E+11,0000-00-00 00:00:00
72,PC-8618aa530716,BD-8d3d9ec9e3c1,0.64,1.6,Active,2.02602E+11,0000-00-00 00:00:00
73,PC-8618aa530716,BD-2d1483370e81,0.72,1.8,Active,2.02602E+11,0000-00-00 00:00:00
74,PC-8618aa530716,BD-da09d376a55f,0.72,1.8,Active,2.02602E+11,0000-00-00 00:00:00
75,PC-8618aa530716,BD-8ca4d6d71e29,0.72,1.8,Active,2.02602E+11,0000-00-00 00:00:00
76,PC-8618aa530716,BD-6f8fb338c949,239.6,599,Active,2.02602E+11,0000-00-00 00:00:00
77,PC-8618aa530716,BD-96f4f193d9a2,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
78,PC-8618aa530716,BD-f86f33467d4d,879.6,2199,Active,2.02602E+11,0000-00-00 00:00:00
79,PC-8618aa530716,BD-4c125dc06e24,879.6,2199,Active,2.02602E+11,0000-00-00 00:00:00
80,PC-8618aa530716,BD-9cd61f89ed02,879.6,2199,Active,2.02602E+11,0000-00-00 00:00:00
81,PC-8618aa530716,BD-d7fe51aa3de0,879.6,2199,Active,2.02602E+11,0000-00-00 00:00:00
82,PC-8618aa530716,BD-0be0c81bc527,1199.6,2999,Active,2.02602E+11,0000-00-00 00:00:00
83,PC-8618aa530716,BD-2e6667b8f5c5,2999.6,7499,Active,2.02602E+11,0000-00-00 00:00:00
84,PC-8618aa530716,BD-e170b573854a,679.6,1699,Active,2.02602E+11,0000-00-00 00:00:00
85,PC-8618aa530716,BD-7cf297646b05,2199.6,5499,Active,2.02602E+11,0000-00-00 00:00:00
86,PC-8618aa530716,BD-beded204b0d5,1079.6,2699,Active,2.02602E+11,0000-00-00 00:00:00
87,PC-8618aa530716,BD-d731d01750c0,1399.6,3499,Active,2.02602E+11,0000-00-00 00:00:00
88,PC-8618aa530716,BD-728f1576dd35,22,55,Active,2.02602E+11,0000-00-00 00:00:00
89,PC-8618aa530716,BD-cc8bfd7e6039,143.6,359,Active,2.02602E+11,0000-00-00 00:00:00
90,PC-8618aa530716,BD-5376af5835bf,191.6,479,Active,2.02602E+11,0000-00-00 00:00:00
91,PC-8618aa530716,BD-397f3f008534,147.6,369,Active,2.02602E+11,0000-00-00 00:00:00
92,PC-8618aa530716,BD-5d1058035cea,199.6,499,Active,2.02602E+11,0000-00-00 00:00:00
93,PC-8618aa530716,BD-acb674481ccb,131.6,329,Active,2.02602E+11,0000-00-00 00:00:00
94,PC-8618aa530716,BD-f23fb09f1db6,171.6,429,Active,2.02602E+11,0000-00-00 00:00:00
