uuid,userid,roleclass,rolename,role_description,deletestatus,usertracker,createtime,payment_amount,payment_reference,payment_mode
RL-001c736e192f9e720bf4f74e9b7a9b49,202603693740,Route,/pricesyncing,/pricesyncing,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-01fdccf79d151b984e6aed338c0d5053,202603625430,Route,/purchaseorder,/purchaseorder,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0465046546465464654654654654654,202603625430,Route,/planapproval,/planapproval,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-04f5eb39c839b7eaf3cb28bf4b09b69d,202603625430,Route,/closingaccountingentries,/closingaccountingentries,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0503ed611b003ab5bc476b841f9f2445,202603625430,Route,/subscriptions,/subscriptions,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-065c954963750fc1e4a4b9269aeba077,202603625430,Route,/uploadpage,/uploadpage,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0968d17479ddb9e0e44695547e500e47,202603625430,Function,DISBURSEMENT ENCODER,DISBURSEMENT ENCODER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0b06c37b0ced580b5b784da179a235b3,202603625430,Function,IMS-DELIVERY,IMS-DELIVERY,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0e65faabc8872f25448c87148078fd44,202603625430,Route,/billingandcollections,/billingandcollections,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-0ebede03c750874dc7613984920ac233,202603625430,Route,/pdcsreport,/pdcsreport,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-100208f9ed9d5d7b3b7d1662a1d6b07a,202603625430,Route,/mop,/mop,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-10ad62c99baf5775f4af8c12dc1db295,202603625430,Route,/supplier,/supplier,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-12b96d1e1cfe,202603625430,Route,/poscorehomescreen,/poscorehomescreen,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-1636d03fc9415b6852023cf48b6b0a25,202603625430,Route,/inventoryforecasting,/inventoryforecasting,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-1687f862a72fa75310ffef57532bd27b,202603625430,Route,/usersqueu,/usersqueu,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-16d3d0022219f7efcd02909799b00d04,202603625430,Route,/priceassignment,/priceassignment,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-179579b87c25446a88de3e740698dd6f,202603625430,Route,/colorsettings,/colorsettings,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-17db5850fc86f6ac48de3e02ec70a475,202603625430,Route,/pricing,/pricing,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-1c234ff429b706d7918e09bce89c277d,202603625430,Route,/unitdistribution,/unitdistribution,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-1fb3be270e7a371ca27a8109539591c6,202603625430,Function,ACCTG-JV,ACCTG-JV,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-2159f3fa2776bf1af550bf46ef208254,202603625430,Route,/inventorystockstatus,/inventorystockstatus,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-21b172f8a6b5e39272f8b071cb12769e,202603625430,Route,/bankrecon,/bankrecon,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-21f9b4b9b3bb907b5db209bb227eb839,202603625430,Route,/customeraccountsummary/:id,/customeraccountsummary/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-2247391b1305a6c014f81ec123a324a0,202603625430,Route,/infinitescroll,/infinitescroll,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-22ba766be4a28c33264dfac1e47ef028,202603625430,Route,/changepassword,/changepassword,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-267ecddf648b3440af26be0ddc3d3037,202603625430,Route,/stocklevel,/stocklevel,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-27cdcb07b1343ce88affa53df9fda078,202603625430,Function,IMS-BILLING OFFICER,IMS-BILLING OFFICER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-29104fac8474adc91030a086d3726e88,202603625430,Route,/applyot,/applyot,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-299c1b6d1db9,202603693740,Route,/salesrecordssyncing,/salesrecordssyncing,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-2e8c5efd7d60a40b977c8880b2343f26,202603625430,Route,/discount,/discount,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-2eaa51d5da821fba92af144d9d159fe2,202603625430,Route,/closependingsales,/closependingsales,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-30edbe0235e54ccbcb73ea0125f116e0,202603625430,Function,SALES-ADMIN,SALES-ADMIN,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-31f376befdab3952aeb9b682696c30a2,202603625430,Route,/saletype,/saletype,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-34052e8724a1d9f9155c3cdf4ac4302f,202603625430,Route,/applyleave,/applyleave,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-357c6e0b7446ee7df38becd6df517f1d,202603625430,Route,/buildcomponents,/buildcomponents,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-36eeb4e8f813b1a623441f59b9dd6f90,202603625430,Function,ACCTG-PCF,ACCTG-PCF,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-388945161823340534ce52b1fdccde06,202603625430,Function,IMS-BILLING VIEW KEY,IMS-BILLING VIEW KEY,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3b15070e18e93a0b618458900c8123d2,202603625430,Route,/salestrackersummary,/salestrackersummary,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3b78558ac3b73ff8495ec7d40a16ea6e,202603625430,Function,SALES-QUEUE,SALES-QUEUE,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3b7ecc668085699f424473a8d110b8de,202603625430,Route,/customerspdcsreport,/customerspdcsreport,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3c4a8059606aca2de9781fa205b9c81e,202603625430,Route,/customersinfo,/customersinfo,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3cf94c9b0cd5c3f7ce2f045ea79f0c15,202603625430,Route,/brands,/brands,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-3f181631caeeed8ba16d13c15d70263a,202603625430,Route,/inventoryusage,/inventoryusage,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-417070b5f200da78473c39a0a151d748,202603625430,Route,/pettycashfund,/pettycashfund,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-45947e5ede2e1e59b3635e83c7b2c3ca,202603625430,Route,/daytype,/daytype,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-465456cscdsa,202602461836,Route,/pricesyncing,/pricesyncing,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-4783f8719c2f54eb221c0f74510552b3,202603625430,Route,/customersinfosummary,/customersinfosummary,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-4872105dc18b63534057bb79bf388086,202603625430,Route,/disbursements,/disbursements,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-4a77666f1cf6,202603625430,Route,/gsheetsbs,/gsheetsbs,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-4a77a1b21cf6,202603625430,Route,/gsheets,/gsheets,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-4a77f7251cf6,202603625430,Route,/poscoreselectbusunit,/poscoreselectbusunit,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
RL-4a7812821cf6,202603625430,Route,/poscorelogin,/poscorelogin,Active,2.02604E+11,0000-00-00 00:00:00,0.00,,
